Brand,Model,Processor,Generation,RAM (GB),SSD (GB),HDD (GB),Condition,Price (PKR)
Apple,MacBook Pro 2015,Core i7,9th Gen,4,512,1000,B-Grade,102188
MSI,Modern 14,Core i5,8th Gen,32,0,500,Slightly Used,76307
Lenovo,ThinkPad X1 Carbon,Core i7,7th Gen,16,256,1000,Slightly Used,69028
Lenovo,ThinkPad L480,Core i7,7th Gen,8,0,500,Like New,61290
HP,Spectre x360,Core i3,7th Gen,4,256,500,A-Grade,33186
HP,EliteBook 840 G5,Ryzen 3,10th Gen,4,256,500,B-Grade,52908
Asus,TUF Gaming,Core i3,10th Gen,32,256,500,Like New,82583
Microsoft,Surface Pro 7,Ryzen 3,7th Gen,16,0,1000,B-Grade,41664
Acer,Swift 3,Ryzen 3,11th Gen,4,512,500,B-Grade,61525
HP,Pavilion 15,Ryzen 7,10th Gen,16,128,1000,Slightly Used,59394
HP,EliteBook 840 G3,Ryzen 5,10th Gen,8,512,500,B-Grade,58528
MSI,Prestige 15,Core i5,10th Gen,16,256,0,Like New,80849
MSI,GF63 Thin,Core i5,11th Gen,8,256,1000,Slightly Used,82917
Acer,Aspire 5,Core i5,10th Gen,32,0,500,B-Grade,83911
Lenovo,ThinkPad X1 Carbon,Ryzen 7,8th Gen,32,512,0,B-Grade,67683
HP,ZBook 15,Celeron,7th Gen,32,256,1000,Slightly Used,53825
Microsoft,Surface Laptop 3,Celeron,7th Gen,8,1024,500,A-Grade,45142
Asus,ROG Strix,Ryzen 7,6th Gen,32,1024,0,Like New,69369
Dell,Latitude 7490,Celeron,8th Gen,16,512,1000,Like New,60564
HP,EliteBook 840 G5,Celeron,6th Gen,16,128,1000,B-Grade,38295
Acer,Swift 3,Ryzen 7,6th Gen,32,1024,500,B-Grade,66308
MSI,GF63 Thin,Core i5,11th Gen,8,512,1000,Like New,88749
Microsoft,Surface Pro 7,Core i5,8th Gen,8,0,1000,Like New,62212
Apple,MacBook Pro 2019,Core i7,9th Gen,8,1024,1000,Like New,114282
HP,Pavilion 15,Core i7,8th Gen,32,512,0,B-Grade,91189
MSI,Prestige 15,Core i3,6th Gen,8,1024,500,A-Grade,45016
Dell,XPS 13,Ryzen 7,7th Gen,8,512,500,Slightly Used,41377
Microsoft,Surface Laptop 3,Core i3,6th Gen,32,0,500,Slightly Used,50342
Dell,Latitude 7480,Core i5,7th Gen,16,512,500,B-Grade,59807
Acer,Swift 3,Ryzen 7,7th Gen,4,512,0,B-Grade,37765
Apple,MacBook Air 2017,Core i7,8th Gen,32,0,500,A-Grade,123893
Acer,Aspire 5,Celeron,8th Gen,32,512,1000,Like New,74553
Apple,MacBook Pro 2019,Core i5,5th Gen,4,128,500,B-Grade,78295
Dell,Inspiron 15,Core i3,11th Gen,16,512,1000,Like New,79292
HP,EliteBook 840 G5,Ryzen 5,7th Gen,32,256,1000,Slightly Used,53123
Apple,MacBook Pro 2019,Core i7,5th Gen,16,512,1000,Slightly Used,111107
Dell,Latitude 5400,Core i5,10th Gen,8,256,0,B-Grade,72509
Acer,Aspire 5,Ryzen 3,8th Gen,32,512,1000,Slightly Used,66290
Asus,ROG Strix,Ryzen 3,11th Gen,8,256,0,A-Grade,63066
HP,ProBook 450 G6,Ryzen 5,6th Gen,16,0,1000,B-Grade,40980
HP,EliteBook 840 G5,Core i5,8th Gen,4,1024,500,Like New,68995
Asus,ZenBook 14,Core i5,8th Gen,32,0,1000,Slightly Used,76817
MSI,Modern 14,Ryzen 7,7th Gen,16,0,1000,Like New,41488
HP,Pavilion 15,Core i7,6th Gen,16,256,0,A-Grade,64257
HP,ProBook 450 G6,Core i5,11th Gen,4,1024,0,B-Grade,86488
Lenovo,ThinkPad T470,Core i3,11th Gen,16,1024,1000,B-Grade,84382
Dell,Latitude 7490,Core i3,8th Gen,32,128,500,B-Grade,60799
Asus,VivoBook 15,Core i5,7th Gen,4,256,0,Slightly Used,47563
Asus,VivoBook 15,Ryzen 5,8th Gen,4,0,1000,B-Grade,36475
Apple,MacBook Pro 2019,Core i5,8th Gen,8,256,1000,Like New,104574
MSI,GF63 Thin,Core i5,10th Gen,8,512,1000,A-Grade,72182
HP,EliteBook 840 G5,Celeron,10th Gen,16,256,500,A-Grade,65898
Lenovo,ThinkPad X1 Carbon,Ryzen 3,6th Gen,32,1024,500,A-Grade,68930
Acer,Swift 3,Celeron,11th Gen,8,512,0,B-Grade,72743
Dell,Latitude 7480,Core i5,6th Gen,8,512,0,A-Grade,52590
Dell,Precision 5520,Core i5,8th Gen,16,0,1000,Like New,71473
Asus,VivoBook 15,Core i5,6th Gen,16,0,500,Like New,57427
Apple,MacBook Pro M2,M2,N/A,16,1024,1000,B-Grade,90438
MSI,Modern 14,Ryzen 5,11th Gen,4,512,1000,Like New,69717
Dell,XPS 13,Core i5,8th Gen,8,256,1000,A-Grade,60337
Apple,MacBook Air 2017,Core i7,9th Gen,4,1024,0,Slightly Used,108372
Lenovo,ThinkPad X1 Carbon,Ryzen 5,11th Gen,16,512,1000,Slightly Used,74346
Apple,MacBook Pro 2019,Core i5,5th Gen,4,256,500,Slightly Used,82826
Apple,MacBook Pro 2019,Core i7,9th Gen,4,1024,500,Slightly Used,105387
Asus,VivoBook 15,Ryzen 5,11th Gen,4,1024,500,B-Grade,72541
Dell,Latitude 5400,Ryzen 7,11th Gen,4,512,500,Like New,69309
Dell,Latitude 7490,Celeron,7th Gen,4,512,1000,B-Grade,34795
Acer,Predator Helios,Core i5,8th Gen,16,1024,500,B-Grade,76999
Dell,Inspiron 15,Core i5,8th Gen,4,0,500,B-Grade,50674
Asus,ZenBook 14,Core i7,11th Gen,32,512,500,Like New,117320
Asus,VivoBook 15,Core i3,8th Gen,4,512,500,Slightly Used,41951
MSI,Modern 14,Core i5,6th Gen,16,0,500,B-Grade,52551
Microsoft,Surface Pro 7,Core i5,10th Gen,8,1024,500,B-Grade,83841
Acer,Aspire 5,Ryzen 5,8th Gen,16,512,0,Slightly Used,55362
HP,ProBook 450 G6,Ryzen 7,8th Gen,8,256,0,B-Grade,47319
Microsoft,Surface Pro 7,Celeron,8th Gen,4,1024,1000,Like New,57619
Microsoft,Surface Book 2,Core i5,8th Gen,16,512,0,Like New,73591
HP,Pavilion 15,Core i3,11th Gen,32,512,500,B-Grade,90024
Microsoft,Surface Pro 7,Core i3,11th Gen,32,1024,0,B-Grade,96100
Microsoft,Surface Laptop 3,Ryzen 3,10th Gen,8,0,1000,Like New,54824
Lenovo,ThinkPad T470,Ryzen 7,7th Gen,32,512,500,Like New,63317
Dell,Latitude 7480,Core i3,11th Gen,4,0,1000,Like New,64416
Microsoft,Surface Book 2,Core i5,6th Gen,8,128,500,Like New,53270
HP,Pavilion 15,Ryzen 3,8th Gen,4,1024,500,A-Grade,49829
Apple,MacBook Pro 2015,Core i7,5th Gen,8,0,1000,Slightly Used,99749
HP,Spectre x360,Core i5,11th Gen,16,1024,1000,Slightly Used,101520
Asus,VivoBook 15,Core i5,7th Gen,32,0,1000,Slightly Used,63977
Apple,MacBook Pro 2019,Core i7,9th Gen,8,128,1000,Slightly Used,95848
Dell,Latitude 7480,Core i5,8th Gen,32,512,1000,Like New,91406
Lenovo,ThinkPad X1 Carbon,Core i5,7th Gen,8,128,500,B-Grade,49176
Acer,Aspire 5,Ryzen 5,10th Gen,32,256,500,A-Grade,72937
Lenovo,ThinkPad X1 Carbon,Core i5,10th Gen,8,1024,1000,Like New,85099
Dell,Inspiron 15,Ryzen 3,10th Gen,32,512,500,B-Grade,79685
Asus,TUF Gaming,Core i5,6th Gen,32,256,500,A-Grade,68315
Microsoft,Surface Laptop 3,Ryzen 3,11th Gen,16,0,1000,B-Grade,65807
Apple,MacBook Air 2017,Core i7,9th Gen,16,128,500,Slightly Used,102446
HP,ProBook 450 G6,Core i3,7th Gen,32,256,1000,Like New,63184
Asus,VivoBook 15,Core i3,7th Gen,4,0,500,B-Grade,23159
Dell,Precision 5520,Core i5,8th Gen,4,128,500,Slightly Used,52253
Acer,Aspire 5,Ryzen 3,8th Gen,16,256,1000,Like New,59166
MSI,Prestige 15,Core i7,8th Gen,32,512,1000,A-Grade,95412
Apple,MacBook Pro 2015,Core i7,9th Gen,16,256,0,A-Grade,107516
Asus,ROG Strix,Core i5,8th Gen,16,256,0,Slightly Used,70006
Microsoft,Surface Book 2,Ryzen 3,6th Gen,16,512,500,Like New,53838
Dell,Latitude 5400,Celeron,10th Gen,16,0,1000,Slightly Used,58546
Acer,Predator Helios,Ryzen 3,7th Gen,4,128,1000,A-Grade,25649
Microsoft,Surface Pro 7,Core i5,8th Gen,4,256,0,B-Grade,55763
Lenovo,ThinkPad X1 Carbon,Core i5,11th Gen,4,128,0,B-Grade,73997
Dell,XPS 13,Core i5,6th Gen,16,0,500,Slightly Used,54478
Microsoft,Surface Pro 7,Core i5,6th Gen,32,256,500,Slightly Used,67849
Asus,VivoBook 15,Core i3,10th Gen,16,512,1000,A-Grade,64870
Dell,Inspiron 15,Core i5,8th Gen,16,0,500,A-Grade,66493
Lenovo,ThinkPad T480,Ryzen 7,8th Gen,8,128,0,Slightly Used,38844
Apple,MacBook Pro 2019,Core i5,5th Gen,32,0,1000,Slightly Used,108266
Microsoft,Surface Pro 7,Ryzen 3,11th Gen,32,256,500,B-Grade,85137
Lenovo,IdeaPad 3,Core i7,8th Gen,32,1024,500,Like New,103979
Apple,MacBook Pro 2015,Core i5,8th Gen,4,1024,0,Slightly Used,109131
HP,Pavilion 15,Ryzen 7,10th Gen,16,1024,1000,Slightly Used,70467
Asus,VivoBook 15,Ryzen 3,6th Gen,4,512,1000,Slightly Used,37755
Apple,MacBook Air 2017,Core i7,9th Gen,32,1024,1000,Slightly Used,131494
Lenovo,ThinkPad L480,Core i5,6th Gen,4,1024,0,Like New,64005
Lenovo,ThinkPad T470,Celeron,6th Gen,16,1024,500,B-Grade,51057
Microsoft,Surface Laptop 3,Core i3,8th Gen,8,1024,1000,Like New,63640
MSI,Modern 14,Ryzen 5,11th Gen,32,1024,0,A-Grade,98574
HP,ProBook 450 G6,Celeron,10th Gen,16,512,500,Slightly Used,64276
Asus,ROG Strix,Celeron,6th Gen,4,512,500,A-Grade,31852
MSI,Modern 14,Core i5,7th Gen,8,512,0,A-Grade,53284
Asus,TUF Gaming,Core i5,10th Gen,32,0,1000,Like New,94250
Microsoft,Surface Laptop 3,Core i5,6th Gen,4,0,1000,Slightly Used,38437
Lenovo,Legion 5,Core i7,10th Gen,4,512,500,Slightly Used,82136
Acer,Predator Helios,Ryzen 5,7th Gen,8,128,500,Slightly Used,29630
Microsoft,Surface Book 2,Celeron,6th Gen,16,512,500,A-Grade,46482
Apple,MacBook Air M1,M1,N/A,8,128,500,A-Grade,74056
Dell,Precision 5520,Core i5,8th Gen,32,128,500,Like New,84952
Apple,MacBook Air M1,M1,N/A,4,0,1000,Like New,73618
Lenovo,IdeaPad 3,Celeron,7th Gen,32,256,500,A-Grade,53315
HP,ProBook 450 G6,Core i7,7th Gen,32,256,500,B-Grade,83239
Lenovo,Legion 5,Ryzen 7,11th Gen,16,256,1000,A-Grade,71869
Apple,MacBook Air 2017,Core i7,9th Gen,8,256,0,Like New,108444
Apple,MacBook Air M1,M1,N/A,8,512,0,A-Grade,78164
Acer,Swift 3,Ryzen 5,10th Gen,8,1024,1000,Slightly Used,67720
HP,EliteBook 840 G3,Core i5,7th Gen,8,512,1000,B-Grade,54299
Acer,Nitro 5,Ryzen 5,6th Gen,32,256,0,A-Grade,55359
Lenovo,Legion 5,Ryzen 3,11th Gen,4,256,0,A-Grade,59263
MSI,GF63 Thin,Core i5,7th Gen,4,128,1000,A-Grade,43309
Microsoft,Surface Laptop 3,Core i7,7th Gen,4,1024,1000,Slightly Used,66368
Asus,VivoBook 15,Ryzen 5,7th Gen,8,1024,500,A-Grade,43656
Apple,MacBook Air 2017,Core i7,8th Gen,8,128,0,B-Grade,108126
Lenovo,Legion 5,Core i3,7th Gen,4,512,0,B-Grade,32704
MSI,GF63 Thin,Core i5,8th Gen,32,1024,500,A-Grade,93786
Lenovo,IdeaPad 3,Core i5,11th Gen,8,256,500,Like New,86783
HP,Spectre x360,Core i5,11th Gen,16,1024,0,Slightly Used,97484
Dell,Inspiron 15,Core i5,7th Gen,8,512,500,Slightly Used,53072
Lenovo,IdeaPad 3,Core i5,6th Gen,8,0,500,A-Grade,45770
Apple,MacBook Air M1,M1,N/A,4,512,500,Slightly Used,71859
Asus,VivoBook 15,Core i5,8th Gen,8,512,1000,Like New,69767
Microsoft,Surface Pro 7,Ryzen 7,10th Gen,32,1024,0,B-Grade,89546
Apple,MacBook Pro 2019,Core i7,8th Gen,4,512,1000,Slightly Used,106206
HP,EliteBook 840 G5,Core i7,10th Gen,32,1024,0,Slightly Used,109459
Microsoft,Surface Pro 7,Core i5,11th Gen,32,512,0,Slightly Used,101474
Dell,Latitude 7490,Core i5,6th Gen,8,128,500,Slightly Used,47660
MSI,Modern 14,Ryzen 5,8th Gen,16,512,0,Slightly Used,58208
Microsoft,Surface Book 2,Core i3,8th Gen,8,128,1000,A-Grade,42071
Asus,ZenBook 14,Ryzen 7,8th Gen,8,512,500,A-Grade,51080
Apple,MacBook Air 2017,Core i5,5th Gen,4,0,1000,B-Grade,84747
Apple,MacBook Air M1,M1,N/A,8,1024,0,Like New,90736
Lenovo,ThinkPad T470,Core i3,7th Gen,8,512,1000,Slightly Used,41881
HP,EliteBook 840 G3,Core i5,7th Gen,32,512,1000,B-Grade,74763
Dell,Inspiron 15,Ryzen 7,7th Gen,4,0,500,Like New,32762
Asus,ZenBook 14,Core i7,11th Gen,8,512,0,B-Grade,96551
Lenovo,ThinkPad L480,Ryzen 7,6th Gen,32,256,0,Slightly Used,55501
Lenovo,Legion 5,Ryzen 7,11th Gen,4,128,0,A-Grade,53348
MSI,Modern 14,Celeron,8th Gen,8,256,0,Slightly Used,43451
HP,EliteBook 840 G5,Ryzen 3,8th Gen,4,128,0,A-Grade,35451
Acer,Swift 3,Ryzen 7,6th Gen,4,0,1000,Like New,31566
HP,EliteBook 840 G3,Ryzen 3,11th Gen,4,256,1000,Slightly Used,63418
MSI,Prestige 15,Core i7,11th Gen,16,0,500,A-Grade,96348
MSI,Modern 14,Core i7,7th Gen,16,128,500,B-Grade,60324
Asus,ZenBook 14,Core i5,10th Gen,16,512,500,B-Grade,82970
Apple,MacBook Air 2017,Core i7,9th Gen,32,0,500,Slightly Used,115670
Apple,MacBook Pro 2019,Core i5,9th Gen,32,0,1000,B-Grade,109671
Asus,ROG Strix,Core i5,7th Gen,16,256,1000,A-Grade,54425
MSI,GF63 Thin,Celeron,7th Gen,32,128,500,B-Grade,48907
Apple,MacBook Air 2017,Core i5,5th Gen,8,0,500,A-Grade,88565
HP,ZBook 15,Ryzen 7,8th Gen,8,0,500,A-Grade,41033
MSI,Modern 14,Celeron,7th Gen,32,128,0,A-Grade,51648
Microsoft,Surface Pro 7,Ryzen 7,8th Gen,4,256,500,B-Grade,42989
MSI,GF63 Thin,Ryzen 5,8th Gen,4,0,1000,B-Grade,39397
Dell,Inspiron 15,Ryzen 3,8th Gen,32,0,1000,Slightly Used,60042
Asus,ZenBook 14,Core i7,6th Gen,32,0,1000,Slightly Used,75025
Dell,Latitude 7490,Core i5,6th Gen,8,512,0,Like New,57638
HP,EliteBook 840 G3,Celeron,7th Gen,16,1024,0,A-Grade,56269
Lenovo,Legion 5,Ryzen 5,8th Gen,8,512,500,B-Grade,48006
HP,EliteBook 840 G3,Core i7,7th Gen,8,0,500,A-Grade,59281
Lenovo,ThinkPad X1 Carbon,Ryzen 5,7th Gen,16,128,500,Slightly Used,36636
MSI,Modern 14,Core i5,11th Gen,16,0,500,Like New,86902
Acer,Nitro 5,Core i5,11th Gen,8,128,1000,B-Grade,74772
Apple,MacBook Pro M2,M2,N/A,4,256,500,A-Grade,71983
MSI,Modern 14,Ryzen 5,6th Gen,4,0,1000,B-Grade,29834
MSI,Modern 14,Core i5,7th Gen,4,256,0,A-Grade,43712
Lenovo,ThinkPad L480,Core i5,6th Gen,4,512,500,Like New,52158
Asus,ZenBook 14,Ryzen 5,8th Gen,16,128,0,Like New,54432
Lenovo,ThinkPad T470,Core i5,6th Gen,4,512,500,Slightly Used,51945
Acer,Nitro 5,Ryzen 7,11th Gen,8,512,500,Slightly Used,69245
HP,ZBook 15,Ryzen 5,11th Gen,4,256,0,B-Grade,63085
MSI,Prestige 15,Core i3,11th Gen,16,1024,1000,A-Grade,83602
HP,EliteBook 840 G5,Core i7,10th Gen,16,128,0,B-Grade,85181
MSI,Prestige 15,Ryzen 3,8th Gen,32,512,1000,Like New,73555
Microsoft,Surface Pro 7,Core i7,6th Gen,32,128,500,Like New,83453
Microsoft,Surface Pro 7,Celeron,10th Gen,8,512,0,Like New,63281
Dell,Latitude 7490,Core i5,7th Gen,16,128,500,A-Grade,50891
MSI,Prestige 15,Core i5,10th Gen,32,512,500,A-Grade,96838
Lenovo,Legion 5,Core i3,11th Gen,8,128,0,A-Grade,62014
Lenovo,ThinkPad L480,Core i3,6th Gen,16,256,0,B-Grade,40121
Acer,Predator Helios,Ryzen 7,11th Gen,4,256,1000,Like New,63411
Acer,Predator Helios,Celeron,6th Gen,16,512,0,Like New,53524
Asus,TUF Gaming,Core i5,11th Gen,8,512,0,A-Grade,85232
Microsoft,Surface Pro 7,Celeron,11th Gen,32,0,500,B-Grade,79678
Acer,Nitro 5,Celeron,11th Gen,16,128,500,A-Grade,66003
Dell,Latitude 7490,Core i5,6th Gen,8,0,1000,B-Grade,47756
Lenovo,ThinkPad T480,Core i5,7th Gen,32,0,500,Slightly Used,67983
Apple,MacBook Air M1,M1,N/A,32,128,1000,A-Grade,88882
HP,ZBook 15,Core i7,11th Gen,8,0,500,B-Grade,89590
Asus,ZenBook 14,Core i5,6th Gen,8,1024,0,B-Grade,64269
Acer,Predator Helios,Core i3,8th Gen,8,1024,500,Slightly Used,53034
Asus,ROG Strix,Ryzen 5,11th Gen,4,256,0,A-Grade,60705
MSI,GF63 Thin,Core i5,11th Gen,8,256,500,Slightly Used,79163
MSI,Prestige 15,Ryzen 3,10th Gen,32,0,500,Like New,79464
Apple,MacBook Air M1,M1,N/A,4,512,0,Slightly Used,77664
Asus,ROG Strix,Ryzen 7,8th Gen,16,512,500,B-Grade,59714
Asus,TUF Gaming,Core i5,11th Gen,4,1024,0,A-Grade,86634
Microsoft,Surface Laptop 3,Celeron,8th Gen,4,128,500,A-Grade,37990
Acer,Aspire 5,Celeron,6th Gen,8,1024,0,B-Grade,47721
Lenovo,ThinkPad L480,Core i5,7th Gen,32,0,500,Slightly Used,68325
Acer,Aspire 5,Core i5,10th Gen,16,1024,1000,A-Grade,89454
Asus,VivoBook 15,Core i7,11th Gen,16,0,500,Like New,99054
HP,Pavilion 15,Core i5,6th Gen,32,0,500,B-Grade,69864
Apple,MacBook Air M1,M1,N/A,16,1024,1000,A-Grade,90986
HP,EliteBook 840 G5,Ryzen 3,8th Gen,16,128,500,Slightly Used,46901
Microsoft,Surface Book 2,Ryzen 3,7th Gen,8,256,0,Like New,38788
Asus,VivoBook 15,Core i5,6th Gen,8,1024,1000,A-Grade,59040
Dell,Inspiron 15,Core i5,11th Gen,32,0,1000,A-Grade,93187
Apple,MacBook Air 2017,Core i5,8th Gen,8,128,1000,Like New,99626
MSI,Prestige 15,Core i3,8th Gen,16,0,500,Like New,51567
Asus,VivoBook 15,Celeron,7th Gen,32,0,1000,B-Grade,50987
Dell,Latitude 7490,Celeron,8th Gen,8,512,0,Like New,51257
Apple,MacBook Pro 2019,Core i5,5th Gen,32,1024,1000,B-Grade,119853
Lenovo,IdeaPad 3,Core i5,6th Gen,8,0,1000,A-Grade,47062
Microsoft,Surface Laptop 3,Core i3,11th Gen,32,256,0,Slightly Used,85839
HP,EliteBook 840 G5,Core i5,11th Gen,32,128,1000,Like New,102924
Asus,TUF Gaming,Celeron,8th Gen,4,1024,1000,B-Grade,52741
Microsoft,Surface Pro 7,Ryzen 3,7th Gen,16,128,0,Slightly Used,37327
Asus,VivoBook 15,Core i7,11th Gen,32,0,1000,A-Grade,103161
Lenovo,Legion 5,Ryzen 5,7th Gen,4,512,500,A-Grade,33780
MSI,Modern 14,Core i7,11th Gen,32,0,1000,Slightly Used,107682
MSI,GF63 Thin,Core i3,11th Gen,16,256,500,Like New,80481
Microsoft,Surface Book 2,Core i5,10th Gen,16,256,1000,A-Grade,79727
Apple,MacBook Air M1,M1,N/A,16,512,0,Slightly Used,89189
Lenovo,ThinkPad T470,Core i5,7th Gen,4,1024,500,Slightly Used,54338
HP,ProBook 450 G6,Celeron,6th Gen,16,128,500,A-Grade,37990
Apple,MacBook Pro 2019,Core i5,8th Gen,4,1024,500,Like New,113007
HP,EliteBook 840 G3,Ryzen 7,8th Gen,4,256,0,Slightly Used,43716
MSI,Modern 14,Celeron,8th Gen,16,128,500,Slightly Used,48370
Dell,Precision 5520,Core i5,11th Gen,4,1024,500,B-Grade,87147
Asus,ROG Strix,Core i5,8th Gen,8,128,1000,Slightly Used,53959
Dell,Latitude 7480,Ryzen 3,11th Gen,32,128,1000,B-Grade,83756
MSI,Prestige 15,Ryzen 5,11th Gen,8,512,0,A-Grade,66436
HP,EliteBook 840 G5,Ryzen 7,6th Gen,16,0,500,Slightly Used,40888
Lenovo,ThinkPad T480,Ryzen 3,6th Gen,8,256,1000,B-Grade,33565
HP,Pavilion 15,Core i5,11th Gen,32,1024,500,Like New,117569
HP,Spectre x360,Core i5,11th Gen,4,1024,1000,Slightly Used,88151
Dell,Latitude 7490,Core i3,11th Gen,16,128,500,A-Grade,65449
HP,Spectre x360,Core i7,7th Gen,4,512,1000,Like New,63921
Lenovo,ThinkPad T470,Core i7,11th Gen,32,128,500,Slightly Used,103752
Microsoft,Surface Laptop 3,Celeron,10th Gen,8,256,1000,Slightly Used,57479
Lenovo,ThinkPad X1 Carbon,Core i5,11th Gen,8,512,0,Like New,89294
Asus,ZenBook 14,Core i7,6th Gen,8,128,500,Like New,62439
Apple,MacBook Pro M2,M2,N/A,32,128,0,Slightly Used,92024
MSI,Modern 14,Celeron,7th Gen,32,512,500,A-Grade,58500
Microsoft,Surface Pro 7,Ryzen 7,10th Gen,32,0,1000,Like New,75821
Microsoft,Surface Book 2,Celeron,11th Gen,16,128,500,B-Grade,68907
Asus,ZenBook 14,Core i3,8th Gen,16,0,500,Like New,54084
HP,EliteBook 840 G3,Ryzen 3,7th Gen,16,0,1000,B-Grade,39448
Dell,Latitude 7490,Celeron,8th Gen,16,256,500,Slightly Used,54525
Acer,Predator Helios,Ryzen 5,10th Gen,4,1024,500,B-Grade,64656
Lenovo,ThinkPad T470,Core i5,10th Gen,32,256,0,Like New,98911
MSI,Modern 14,Ryzen 5,10th Gen,8,0,500,Like New,53440
Dell,Inspiron 15,Ryzen 7,8th Gen,8,0,1000,Slightly Used,40250
HP,Spectre x360,Celeron,7th Gen,4,0,1000,B-Grade,24636
Microsoft,Surface Book 2,Celeron,11th Gen,4,1024,500,B-Grade,69267
Apple,MacBook Air 2017,Core i7,8th Gen,8,512,0,B-Grade,114076
Dell,Inspiron 15,Core i5,6th Gen,16,256,0,A-Grade,56299
Acer,Nitro 5,Ryzen 7,6th Gen,32,0,500,A-Grade,50208
Acer,Swift 3,Ryzen 3,6th Gen,32,512,500,A-Grade,62480
Asus,ROG Strix,Celeron,7th Gen,32,0,1000,Slightly Used,52348
Dell,Inspiron 15,Core i5,6th Gen,32,512,0,Slightly Used,75231
Lenovo,IdeaPad 3,Ryzen 7,7th Gen,4,512,1000,B-Grade,36944
Acer,Predator Helios,Core i5,6th Gen,32,128,0,Slightly Used,68231
HP,EliteBook 840 G3,Core i5,11th Gen,8,1024,1000,Slightly Used,91472
Lenovo,ThinkPad T480,Ryzen 5,7th Gen,4,512,0,Like New,37809
Dell,Latitude 7490,Ryzen 3,8th Gen,4,128,500,Slightly Used,38189
Microsoft,Surface Laptop 3,Ryzen 5,8th Gen,8,128,500,A-Grade,44493
Dell,Precision 5520,Core i5,7th Gen,4,256,1000,Like New,49995
Asus,ROG Strix,Core i3,10th Gen,8,1024,1000,A-Grade,64439
Apple,MacBook Pro M2,M2,N/A,4,0,500,B-Grade,69395
Dell,Latitude 7480,Ryzen 5,7th Gen,4,256,1000,A-Grade,29032
Acer,Predator Helios,Core i5,7th Gen,4,128,500,Slightly Used,43097
Lenovo,ThinkPad T470,Core i7,8th Gen,16,256,500,Slightly Used,76951
Apple,MacBook Pro 2015,Core i7,8th Gen,16,0,1000,Like New,115278
Acer,Predator Helios,Ryzen 7,11th Gen,4,1024,500,A-Grade,73455
MSI,Modern 14,Celeron,7th Gen,16,512,500,A-Grade,43235
HP,EliteBook 840 G3,Core i7,8th Gen,8,512,1000,B-Grade,74153
HP,Pavilion 15,Celeron,11th Gen,16,1024,500,Slightly Used,85564
Microsoft,Surface Book 2,Ryzen 3,7th Gen,16,0,1000,A-Grade,41127
Acer,Predator Helios,Core i3,7th Gen,8,1024,0,B-Grade,45483
Lenovo,ThinkPad T480,Core i3,11th Gen,8,128,500,Like New,67925
Acer,Aspire 5,Ryzen 3,11th Gen,16,0,1000,A-Grade,65682
Microsoft,Surface Pro 7,Core i5,7th Gen,32,256,1000,B-Grade,68798
Microsoft,Surface Book 2,Ryzen 3,6th Gen,8,256,1000,A-Grade,37279
MSI,GF63 Thin,Core i7,11th Gen,32,0,500,B-Grade,107143
HP,EliteBook 840 G5,Core i5,7th Gen,8,128,0,Like New,51028
HP,EliteBook 840 G3,Celeron,11th Gen,4,256,0,Slightly Used,57706
Acer,Aspire 5,Ryzen 3,11th Gen,32,0,1000,Like New,86621
Dell,XPS 13,Ryzen 5,11th Gen,8,0,500,Like New,63180
HP,Pavilion 15,Core i7,8th Gen,32,512,1000,Like New,99849
Dell,XPS 13,Ryzen 3,8th Gen,8,512,500,B-Grade,52490
Asus,VivoBook 15,Core i5,8th Gen,8,256,500,Slightly Used,63218
Dell,Latitude 7490,Ryzen 5,7th Gen,16,128,500,B-Grade,37461
Lenovo,ThinkPad X1 Carbon,Celeron,8th Gen,32,0,1000,Like New,68284
Dell,Latitude 5400,Celeron,7th Gen,4,1024,1000,A-Grade,42623
Lenovo,Legion 5,Ryzen 5,8th Gen,16,128,500,Like New,54360
MSI,Prestige 15,Core i5,7th Gen,16,0,500,Like New,55715
Lenovo,ThinkPad T470,Core i5,8th Gen,4,512,0,B-Grade,58477
HP,EliteBook 840 G3,Core i5,7th Gen,16,0,1000,A-Grade,55600
Acer,Swift 3,Celeron,8th Gen,4,1024,500,Slightly Used,54076
MSI,Modern 14,Celeron,6th Gen,32,1024,500,B-Grade,69991
Acer,Aspire 5,Ryzen 3,8th Gen,4,512,1000,A-Grade,41849
HP,EliteBook 840 G5,Ryzen 5,10th Gen,32,1024,0,Slightly Used,84825
Acer,Predator Helios,Core i7,8th Gen,32,0,500,Slightly Used,83651
Asus,ZenBook 14,Core i5,8th Gen,4,256,500,B-Grade,56594
Apple,MacBook Air M1,M1,N/A,4,128,0,Like New,71842
Dell,Precision 5520,Celeron,7th Gen,16,512,500,B-Grade,48865
HP,Pavilion 15,Ryzen 5,7th Gen,32,256,500,Like New,57517
Dell,Latitude 5400,Core i7,10th Gen,4,1024,0,A-Grade,86612
MSI,GF63 Thin,Core i5,6th Gen,16,512,0,Like New,68969
Lenovo,ThinkPad T480,Ryzen 3,7th Gen,8,512,1000,A-Grade,39501
Dell,Precision 5520,Ryzen 7,6th Gen,32,256,1000,Slightly Used,58196
Acer,Predator Helios,Ryzen 3,10th Gen,8,256,0,Slightly Used,57892
Lenovo,IdeaPad 3,Core i5,8th Gen,8,512,500,A-Grade,63148
HP,ProBook 450 G6,Core i7,6th Gen,4,128,1000,B-Grade,51047
